"State","County","RuralUrbanContinuum1993"
"IA","093",8
"IA","095",8
"IA","097",6
"IA","099",6
"IA","101",7
"IA","103",3
"IA","105",6
"IA","107",9
"IA","109",7
"IA","111",5
"IA","113",3
"IA","115",8
"IA","117",6
"IA","119",6
"IA","121",6
"IA","123",7
"IA","125",6
"IA","127",5
"IA","129",6
"IA","131",7
"IA","133",6
"IA","135",7
"IA","137",6
"IA","139",4
"IA","141",7
"IA","143",7
"IA","145",7
"IA","147",7
"IA","149",6
"IA","151",9
"IA","153",2
"IA","155",2
"IA","157",7
"IA","159",9
"IA","161",9
"IA","163",2
"IA","165",6
"IA","167",7
"IA","169",4
"IA","171",6
"IA","173",9
"IA","175",7
"IA","177",9
"IA","179",5
"IA","181",2
"IA","183",6
"IA","185",9
"IA","187",5
"IA","189",7
"IA","191",7
"IA","193",3
"IA","195",9
"IA","197",7
"KS","001",7
"KS","003",6
"KS","005",6
"KS","007",9
"KS","009",7
"KS","011",7
"KS","013",7
"KS","015",2
"KS","017",9
"KS","019",9
"KS","021",6
"KS","023",9
"KS","025",9
"KS","027",7
"KS","029",7
"KS","031",7
"KS","033",9
"KS","035",4
"KS","037",4
"KS","039",9
"KS","041",7
"KS","043",8
"KS","045",3
"KS","047",9
"KS","049",8
"KS","051",7
"KS","053",9
"KS","055",5
"KS","057",5
"KS","059",6
"KS","061",5
"KS","063",9
"KS","065",9
"KS","067",7
"KS","069",9
"KS","071",9
"KS","073",6
"KS","075",9
"KS","077",7
"KS","079",2
"KS","081",9
"KS","083",9
"KS","085",6
"KS","087",8
"KS","089",9
"KS","091",0
"KS","093",9
"KS","095",6
"KS","097",9
"KS","099",7
"KS","101",9
"KS","103",1
"KS","105",9
"KS","107",8
"KS","109",9
"KS","111",5
"KS","113",7
"KS","115",6
"KS","117",7
"KS","119",9
"KS","121",1
"KS","123",7
"KS","125",5
"KS","127",9
"KS","129",9
"KS","131",9
"KS","133",7
"KS","135",9
"KS","137",7
"KS","139",6
"KS","141",9
"KS","143",9
"KS","145",7
"KS","147",7
"KS","149",6
"KS","151",7
"KS","153",9
"KS","155",4
"KS","157",7
"KS","159",7
"KS","161",5
"KS","163",9
"KS","165",9
"KS","167",7
"KS","169",5
"KS","171",7
"KS","173",2
"KS","175",7
"KS","177",3
