Primary Site,Histology,Schema
321,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",43
322,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",44
"323,328-329","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",45
339,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",46
"340-343,348-349","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",47
"380-383,388","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",48
384,"8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",49
"390,398-399","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",50
"400-403,408-414,418-419","8000-9139,9141-9589,9700-9701,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",51
"440,442-449","8000-8719,8791-9139,9141-9589,9730,9743-9749,9759,9763,9770-9799,9802-9804,9810,9819,9821-9822,9824-9825,9828-9830,9838-9839,9841-9859,9862,9864,9868,9877-9890,9892-9894,9899-9909,9912-9919,9921-9929,9932-9939,9941-9944,9947,9949,9951-9959,9968-9969,9972-9974,9976-9979,9981,9988,9993-9999",52
