Schema,Extension,Ext Recode
81,"420,445",1
81,510,1
81,520,1
81,530,2
81,540,2
81,600,1
81,"610,640",1
81,"635,650,660,670,680",2
81,710,1
81,750,2
81,800,7
81,950,9
81,999,9
83,000,0
83,100,1
83,"300,400",1
83,700,2
83,800,7
83,950,9
83,999,9
38,000,0
38,100,1
38,300,1
38,400,2
38,600,2
38,800,7
38,950,9
38,999,9
37,000,0
37,"100,110",1
37,105,2
37,200,1
37,205,2
37,"300,350",1
37,330,2
37,340,7
37,"380,385,390,400",2
37,"410,450",2
37,"490,500",7
37,"600,610",2
37,650,2
37,660,2
37,"670,680,690,725,730,750",2
37,"695,700,705",7
37,"710,715,740,760,770,780,795,801,810",7
37,815,2
37,950,9
37,999,9
19,000,0
19,100,1
19,105,1
19,"200,205",2
19,"250,300",1
19,"305,330",1
19,"310,350",2
19,400,2
19,"500,505",2
19,510,1
19,"520,530",2
19,"550,555",2
19,560,2
19,565,2
19,"568,570",7
19,575,1
19,"580,585",2
19,590,2
19,600,2
19,605,2
19,610,7
19,"620,645",2
19,650,7
19,"700,710,760",2
19,"740,750,790",7
19,800,7
19,"810,815",2
19,950,9
19,999,9
85,000,0
85,"100,200",1
85,300,1
85,"400,500",2
85,600,2
85,"650,700",7
85,800,1
85,810,2
85,950,9
85,999,9
17,000,0
17,"100,105",1
17,150,1
17,200,2
17,300,1
17,305,1
17,310,1
17,400,2
17,"410,630",2
17,420,2
17,"500,510,531",2
17,"520,538,675,715",7
17,530,1
17,"533,535",2
17,540,2
17,550,2
17,600,2
17,610,2
17,"620,710",2
17,"630,635",2
17,650,2
17,700,7
17,705,2
17,708,2
17,"718,720",7
17,750,7
17,760,7
17,770,7
17,800,7
17,810,7
17,815,2
17,950,9
17,999,9
65,000,0
65,100,1
65,300,1
65,400,2
65,500,2
65,700,2
65,800,7
65,950,9
65,999,9
32,000,0
32,100,1
32,200,1
32,300,1
32,400,2
32,500,1
32,550,2
32,600,2
32,610,2
32,620,2
32,"630,640,645,647",2
