Histology,Primary Site,EOD 4dig Ext,EOD 4dig Nodes,Stage
"8000-9134,9141-9589",322,8,"0-1,6-9",4
"8000-9134,9141-9589",322,"1-3,5-7,9",7,4
"8000-9134,9141-9589",322,9,"0,9",9
"8000-9134,9141-9589","323,328-329",0,0-9,0
"8000-9134,9141-9589","323,328-329","1,3","0,9",1
"8000-9134,9141-9589","323,328-329",4,"0,9",2
"8000-9134,9141-9589","323,328-329","1,3,9","1,6,8",2
"8000-9134,9141-9589","323,328-329",4,"1,6,8",2
"8000-9134,9141-9589","323,328-329",8,"0-1,6-9",4
"8000-9134,9141-9589","323,328-329","1,3-4,9",7,4
"8000-9134,9141-9589","323,328-329",9,"0,9",9
"8000-9134,9141-9589",339,0,0-9,0
"8000-9134,9141-9589",339,"1,3","0,9",1
"8000-9134,9141-9589",339,4,"0,9",2
"8000-9134,9141-9589",339,"1,3,9","1,8",2
"8000-9134,9141-9589",339,4,"1,8",2
"8000-9134,9141-9589",339,"1,3-4,9",7,4
"8000-9134,9141-9589",339,8,"0-1,7-9",4
"8000-9134,9141-9589",339,9,"0,9",9
"8000-9134,9141-9589",340-349,0,0-9,0
"8000-9134,9141-9589",340-349,1-3,"0,9",1
"8000-9134,9141-9589",340-349,4-7,"0,9",2
"8000-9134,9141-9589",340-349,"1-3,9","1-3,5,8",2
"8000-9134,9141-9589",340-349,4-7,"1-3,5,8",2
"8000-9134,9141-9589",340-349,"1-7,9",6-7,4
"8000-9134,9141-9589",340-349,8,"0-3,5-9",4
"8000-9134,9141-9589",340-349,9,"0,9",9
"8000-9134,9141-9589","379,740-759",0,0-9,0
"8000-9134,9141-9589","379,740-759","1,3","0,9",1
"8000-9134,9141-9589","379,740-759",4,"0,9",2
"8000-9134,9141-9589","379,740-759","1,3,9","1,8",2
"8000-9134,9141-9589","379,740-759",4,"1,8",2
"8000-9134,9141-9589","379,740-759","1,3-4,9",7,4
"8000-9134,9141-9589","379,740-759",8,"0-1,7-9",4
"8000-9134,9141-9589","379,740-759",9,"0,9",9
"8000-9134,9141-9589","380-383,388","1,3","0,9",1
"8000-9134,9141-9589","380-383,388",4,"0,9",2
"8000-9134,9141-9589","380-383,388","1,3,9","1,8",2
"8000-9134,9141-9589","380-383,388",4,"1,8",2
"8000-9134,9141-9589","380-383,388",8,"0-1,7-9",4
"8000-9134,9141-9589","380-383,388","1,3-4,9",7,4
"8000-9134,9141-9589","380-383,388",9,"0,9",9
"8000-9134,9141-9589",384,1-3,"0,9",1
"8000-9134,9141-9589",384,4-5,"0,9",2
"8000-9134,9141-9589",384,"1-3,9","1,8",2
"8000-9134,9141-9589",384,4-5,"1,8",2
"8000-9134,9141-9589",384,"1-5,9",7,4
"8000-9134,9141-9589",384,"6,8","0-1,7-9",4
"8000-9134,9141-9589",384,9,"0,9",9
"8000-9134,9141-9589",390-399,"1,3","0,9",1
"8000-9134,9141-9589",390-399,4,"0,9",2
"8000-9134,9141-9589",390-399,"1,3,9","1,8",2
"8000-9134,9141-9589",390-399,4,"1,8",2
"8000-9134,9141-9589",390-399,"1,3-4,9",7,4
"8000-9134,9141-9589",390-399,8,"0-1,7-9",4
"8000-9134,9141-9589",390-399,9,"0,9",9
"8000-9134,9141-9589",400-419,"1,3","0,9",1
"8000-9134,9141-9589",400-419,"4,7","0,9",2
"8000-9134,9141-9589",400-419,"1,3,9","1,8",2
"8000-9134,9141-9589",400-419,"4,7","1,8",2
"8000-9134,9141-9589",400-419,8,"0-1,7-9",4
"8000-9134,9141-9589",400-419,"1,3-4,7,9",7,4
"8000-9134,9141-9589",400-419,9,"0,9",9
"8000-9134,9141-9589",420-424,0-99,0-99,9
"8000-9134,9141-9589",440-449,0,0-9,0
"8000-8719,8800-9134,9141-9589",440-449,1-4,"0,9",1
8720-8799,440-449,"1-3,5","0,9",1
9700-9709,440-449,"1,3","0-1,9",9
"8000-8719,8800-9134,9141-9589",440-449,5-7,"0,9",2
8720-8799,440-449,"4,6-7","0,9",2
9700-9709,440-449,"2,7","0-1,9",9
"8000-8719,8800-9134,9141-9589",440-449,"1-4,9","1-2,5,8",2
8720-8799,440-449,"1-3,5,9","1-2,5,8",2
9700-9709,440-449,"1,3,9","2,8",9
