ICD-9-CM-CODE,ICD-O-3-PRIMARY-SITE,HISTOLOGY,BEHAVIOR,GRADE,LATERALITY,REPORTABILITY,GENDER
20061,C770,9714,3,5,0,Y,
20062,C771,9714,3,5,0,Y,
20063,C772,9714,3,5,0,Y,
20064,C773,9714,3,5,0,Y,
20065,C774,9714,3,5,0,Y,
20066,C775,9714,3,5,0,Y,
20067,C422,9714,3,5,0,Y,
20068,C778,9714,3,5,0,Y,
20070,C809,9680,3,6,0,Y,
20071,C770,9680,3,6,0,Y,
20072,C771,9680,3,6,0,Y,
20073,C772,9680,3,6,0,Y,
20074,C773,9680,3,6,0,Y,
20075,C774,9680,3,6,0,Y,
20076,C775,9680,3,6,0,Y,
20077,C422,9680,3,6,0,Y,
20078,C778,9680,3,6,0,Y,
20080,C809,9590,3,9,0,Y,
20081,C770,9590,3,9,0,Y,
20082,C771,9590,3,9,0,Y,
20083,C772,9590,3,9,0,Y,
20084,C773,9590,3,9,0,Y,
20085,C774,9590,3,9,0,Y,
20086,C775,9590,3,9,0,Y,
20087,C422,9590,3,9,0,Y,
20088,C778,9590,3,9,0,Y,
20100,C779,9650,3,9,0,Y,
20101,C770,9650,3,9,0,Y,
20102,C771,9650,3,9,0,Y,
20103,C772,9650,3,9,0,Y,
20104,C773,9650,3,9,0,Y,
20105,C774,9650,3,9,0,Y,
20106,C775,9650,3,9,0,Y,
20107,C422,9650,3,9,0,Y,
20108,C778,9650,3,9,0,Y,
20110,C779,9650,3,9,0,Y,
20111,C779,9650,3,9,0,Y,
20112,C779,9650,3,9,0,Y,
20113,C779,9650,3,9,0,Y,
20114,C779,9650,3,9,0,Y,
20115,C779,9650,3,9,0,Y,
20116,C775,9650,3,9,0,Y,
20117,C779,9650,3,9,0,Y,
20118,C779,9650,3,9,0,Y,
20120,C779,9650,3,9,0,Y,
20121,C770,9650,3,9,0,Y,
20122,C771,9650,3,9,0,Y,
20123,C772,9650,3,9,0,Y,
20124,C773,9650,3,9,0,Y,
20125,C774,9650,3,9,0,Y,
20126,C775,9650,3,9,0,Y,
20127,C779,9650,3,9,0,Y,
20128,C778,9650,3,9,0,Y,
20140,C779,9651,3,9,0,Y,
20141,C770,9651,3,9,0,Y,
20142,C771,9651,3,9,0,Y,
20143,C772,9651,3,9,0,Y,
20144,C773,9651,3,9,0,Y,
20145,C774,9651,3,9,0,Y,
20146,C775,9651,3,9,0,Y,
20147,C779,9651,3,9,0,Y,
20148,C778,9651,3,9,0,Y,
20150,C779,9663,3,9,0,Y,
20151,C770,9663,3,9,0,Y,
20152,C771,9663,3,9,0,Y,
20153,C772,9663,3,9,0,Y,
20154,C773,9663,3,9,0,Y,
20155,C774,9663,3,9,0,Y,
20156,C775,9663,3,9,0,Y,
20157,C779,9663,3,9,0,Y,
20158,C778,9663,3,9,0,Y,
20160,C779,9652,3,9,0,Y,
20161,C770,9652,3,9,0,Y,
20162,C771,9652,3,9,0,Y,
20163,C772,9652,3,9,0,Y,
20164,C773,9652,3,9,0,Y,
20165,C774,9652,3,9,0,Y,
20166,C775,9652,3,9,0,Y,
20167,C779,9652,3,9,0,Y,
20168,C778,9652,3,9,0,Y,
20169,C779,9652,3,9,0,Y,
20170,C779,9653,3,9,0,Y,
20171,C770,9653,3,9,0,Y,
20172,C771,9653,3,9,0,Y,
20173,C772,9653,3,9,0,Y,
20174,C773,9653,3,9,0,Y,
20175,C774,9653,3,9,0,Y,
20176,C775,9653,3,9,0,Y,
20177,C779,9653,3,9,0,Y,
20178,C778,9653,3,9,0,Y,
20190,C779,9650,3,9,0,Y,
20191,C770,9650,3,9,0,Y,
20192,C771,9650,3,9,0,Y,
20193,C772,9650,3,9,0,Y,
20194,C773,9650,3,9,0,Y,
20195,C774,9650,3,9,0,Y,
20196,C775,9650,3,9,0,Y,
20197,C779,9650,3,9,0,Y,
20198,C778,9650,3,9,0,Y,
20200,C809,9690,3,6,0,Y,
20201,C770,9690,3,6,0,Y,
20202,C771,9690,3,6,0,Y,
20203,C772,9690,3,6,0,Y,
20204,C773,9690,3,6,0,Y,
20205,C774,9690,3,6,0,Y,
20206,C775,9690,3,6,0,Y,
20207,C422,9690,3,6,0,Y,
20208,C778,9690,3,6,0,Y,
20210,C449,9700,3,5,0,Y,
20211,C449,9700,3,5,0,Y,
20212,C449,9700,3,5,0,Y,
20213,C449,9700,3,5,0,Y,
20214,C449,9700,3,5,0,Y,
20215,C449,9700,3,5,0,Y,
20216,C449,9700,3,5,0,Y,
20217,C449,9700,3,5,0,Y,
20218,C449,9700,3,5,0,Y,
20219,C449,9700,3,5,0,Y,
20220,C449,9701,3,5,0,Y,
20221,C449,9701,3,5,0,Y,
20222,C449,9701,3,5,0,Y,
20223,C449,9701,3,5,0,Y,
20224,C449,9701,3,5,0,Y,
20225,C449,9701,3,5,0,Y,
20226,C449,9701,3,5,0,Y,
20227,C449,9701,3,5,0,Y,
20228,C449,9701,3,5,0,Y,
20230,C779,9755,3,9,0,Y,
20231,C770,9755,3,9,0,Y,
20232,C771,9755,3,9,0,Y,
20233,C772,9755,3,9,0,Y,
20234,C773,9755,3,9,0,Y,
20235,C774,9755,3,9,0,Y,
20236,C775,9755,3,9,0,Y,
20237,C422,9755,3,9,0,Y,
20238,C778,9755,3,9,0,Y,
20240,C421,9940,3,6,0,Y,
20241,C421,9940,3,6,0,Y,
20242,C421,9940,3,6,0,Y,
20243,C421,9940,3,6,0,Y,
20244,C421,9940,3,6,0,Y,
20245,C421,9940,3,6,0,Y,
20246,C421,9940,3,6,0,Y,
20247,C421,9940,3,6,0,Y,
20248,C421,9940,3,6,0,Y,
20250,C779,9751,3,9,0,Y,
20251,C770,9751,3,9,0,Y,
20252,C771,9751,3,9,0,Y,
20253,C772,9751,3,9,0,Y,
20254,C773,9751,3,9,0,Y,
20255,C774,9751,3,9,0,Y,
20256,C775,9751,3,9,0,Y,
20257,C422,9751,3,9,0,Y,
20258,C778,9751,3,9,0,Y,
20260,C809,9740,3,9,0,Y,
20261,C809,9740,3,9,0,Y,
20262,C809,9740,3,9,0,Y,
20263,C809,9740,3,9,0,Y,
20264,C809,9740,3,9,0,Y,
20265,C809,9740,3,9,0,Y,
20266,C809,9740,3,9,0,Y,
20267,C809,9740,3,9,0,Y,
20268,C809,9740,3,9,0,Y,
20270,C809,9702,3,5,0,Y,
20271,C770,9702,3,5,0,Y,
20272,C771,9702,3,5,0,Y,
20273,C772,9702,3,5,0,Y,
20274,C773,9702,3,5,0,Y,
20275,C774,9702,3,5,0,Y,
20276,C775,9702,3,5,0,Y,
20277,C422,9702,3,5,0,Y,
20278,C778,9702,3,5,0,Y,
20280,C809,9591,3,6,0,Y,
20281,C770,9591,3,6,0,Y,
20282,C771,9591,3,6,0,Y,
20283,C772,9591,3,6,0,Y,
20284,C773,9591,3,6,0,Y,
20285,C774,9591,3,6,0,Y,
20286,C775,9591,3,6,0,Y,
20287,C422,9591,3,6,0,Y,
20288,C778,9591,3,6,0,Y,
20290,C421,9820,3,9,0,Y,
20291,C770,9590,3,9,0,Y,
20292,C771,9590,3,9,0,Y,
20293,C772,9590,3,9,0,Y,
20294,C773,9590,3,9,0,Y,
20295,C774,9590,3,9,0,Y,
20296,C775,9590,3,9,0,Y,
20297,C422,9590,3,9,0,Y,
20298,C778,9590,3,9,0,Y,
20300,C421,9732,3,6,0,Y,
20302,C421,9732,3,6,0,Y,
20310,C421,9732,3,6,0,Y,
20312,C421,9732,3,6,0,Y,
20400,C421,9811,3,6,0,Y,
20402,C421,9811,3,6,0,Y,
20410,C421,9823,3,6,0,Y,
20412,C421,9823,3,6,0,Y,
20420,C421,9820,3,9,0,Y,
20422,C421,9820,3,9,0,Y,
20480,C421,9800,3,9,0,Y,
20482,C421,9800,3,9,0,Y,
20490,C421,9820,3,9,0,Y,
20492,C421,9820,3,9,0,Y,
20500,C421,9861,3,9,0,Y,
20502,C421,9861,3,9,0,Y,
20510,C421,9875,3,9,0,Y,
20512,C421,9875,3,9,0,Y,
20520,C421,9876,3,9,0,Y,
20521,C421,9876,3,9,0,Y,
20522,C421,9876,3,9,0,Y,
20530,C499,9930,3,9,0,Y,
20532,C499,9930,3,9,0,Y,
20580,C421,9860,3,9,0,Y,
20582,C421,9860,3,9,0,Y,
20590,C421,9860,3,9,0,Y,
20592,C421,9860,3,9,0,Y,
20600,C421,9891,3,9,0,Y,
20602,C421,9891,3,9,0,Y,
20610,C421,9945,3,9,0,Y,
20612,C421,9945,3,9,0,Y,
20620,C421,9860,3,9,0,Y,
20622,C421,9860,3,9,0,Y,
20680,C421,9860,3,9,0,Y,
20682,C421,9860,3,9,0,Y,
20690,C421,9860,3,9,0,Y,
20692,C421,9860,3,9,0,Y,
20700,C421,9840,3,9,0,Y,
20701,C421,9840,3,9,0,Y,
20710,C421,9950,3,9,0,Y,
20712,C421,9950,3,9,0,Y,
20720,C421,9910,3,9,0,Y,
20780,C421,9742,3,9,0,Y,
20782,C421,9742,3,9,0,Y,
20800,C421,9801,3,9,0,Y,
20802,C421,9801,3,9,0,Y,
20810,C421,9800,3,9,0,Y,
20812,C421,9800,3,9,0,Y,
20820,C421,9800,3,9,0,Y,
20821,C421,9800,3,9,0,Y,
20822,C421,9800,3,9,0,Y,
20880,C421,9800,3,9,0,Y,
20890,C421,9800,3,9,0,Y,
20900,C179,8240,3,9,0,Y,
20901,C170,8240,3,9,0,Y,
20902,C171,8240,3,9,0,Y,
20903,C172,8240,3,9,0,Y,
20910,C189,8240,3,9,0,Y,
20911,C181,8240,3,9,0,Y,
20912,C180,8240,3,9,0,Y,
20913,C182,8240,3,9,0,Y,
20914,C184,8240,3,9,0,Y,
20915,C186,8240,3,9,0,Y,
20916,C187,8240,3,9,0,Y,
20917,C209,8240,3,9,0,Y,
20920,C809,8240,3,9,0,Y,
20921,C349,8240,3,9,0,Y,
20922,C379,8240,3,9,0,Y,
20923,C169,8240,3,9,0,Y,
20924,C649,8240,3,9,0,Y,
20925,C269,8240,3,9,0,Y,
20926,C269,8240,3,9,0,Y,
20927,C269,8240,3,9,0,Y,
20929,C809,8240,3,9,0,Y,
20930,C449,8247,3,9,0,Y,
20931,C443,8247,3,9,9,Y,
20932,C444,8247,3,9,0,Y,
20933,C446,8247,3,9,0,Y,
20934,C447,8247,3,9,0,Y,
20935,C445,8247,3,9,0,Y,
20936,C449,8247,3,9,0,Y,
20939,C443,8247,3,9,0,Y,
2250,C719,8000,0,9,0,Y,
2251,C729,8000,0,9,0,Y,
2252,C700,8000,0,9,0,Y,
2253,C720,8000,0,9,0,Y,
2254,C701,8000,0,9,0,Y,
2258,C729,8000,0,9,0,Y,
2259,C729,8000,0,9,0,Y,
230,C269,8010,2,9,0,Y,
2300,C069,8010,2,9,0,Y,
2301,C159,8010,2,9,0,Y,
2302,C169,8010,2,9,0,Y,
2303,C189,8010,2,9,0,Y,
2304,C209,8010,2,9,0,Y,
2305,C211,8010,2,9,0,Y,
2306,C210,8010,2,9,0,Y,
2307,C260,8010,2,9,0,Y,
2308,C249,8010,2,9,0,Y,
2309,C269,8010,2,9,0,Y,
2310,C329,8010,2,9,0,Y,
2311,C339,8010,2,9,0,Y,
2312,C349,8010,2,9,0,Y,
2318,C399,8010,2,9,0,Y,
2319,C399,8010,2,9,0,Y,
2330,C509,8010,2,9,0,Y,
2331,C539,8010,2,9,0,Y,
2332,C559,8010,2,9,0,Y,
23330,C579,8010,2,9,0,Y,
23331,C529,8010,2,9,0,Y,
23332,C519,8010,2,9,0,Y,
23339,C579,8010,2,9,0,Y,
2334,C619,8010,2,9,0,Y,
2335,C609,8010,2,9,0,Y,
2336,C639,8010,2,9,0,Y,
2337,C679,8010,2,9,0,Y,
2339,C689,8010,2,9,0,Y,
2340,C699,8010,2,9,9,Y,
2348,C809,8010,2,9,0,Y,
2349,C809,8010,2,9,0,Y,
2350,C089,8000,1,9,0,Y,
2351,C148,8000,1,9,0,Y,
2352,C809,8000,1,9,0,Y,
2353,C269,8000,1,9,0,Y,
2355,C269,8000,1,9,0,Y,
2356,C329,8000,1,9,0,Y,
2357,C349,8000,1,9,0,Y,
2358,C388,8000,1,9,0,Y,
2359,C399,8000,1,9,0,Y,
2370,C759,8000,1,9,0,Y,
2371,C753,8000,1,9,0,Y,
2375,C728,8000,1,9,0,Y,
2376,C700,8000,1,9,9,Y,
2380,C419,8000,0,9,0,Y,
2384,C421,9950,3,9,0,Y,
23874,C421,9986,3,9,0,Y,
23875,C421,9989,3,9,0,Y,
2390,C269,8000,1,9,0,Y,
2391,C399,8000,1,9,0,Y,
2392,C419,8000,0,9,0,Y,
2396,C719,8000,1,9,0,Y,
150,C159,8000,3,9,0,Y,
153,C189,8000,3,9,0,Y,
154,C209,8000,3,9,0,Y,
156,C239,8000,3,9,0,Y,
157,C259,8000,3,9,0,Y,
158,C488,8000,3,9,0,Y,
159,C269,8000,3,9,0,Y,
160,C809,8000,9,9,0,Y,
